trial,stage,status,snr_db,eye_height_mv,eye_width_ps,ber,tx_level,eq_gain,pre_emphasis
291,fine,PASS,16.589,298.8,58.4,0.0,186,8,3
214,medium,PASS,16.434,292.4,56.2,0.0,192,8,3
264,medium,PASS,16.421,298.8,57.6,0.0,212,8,3
206,medium,PASS,16.385,302.1,55.9,0.0,180,8,3
188,medium,PASS,16.347,296.7,56.9,0.0,160,8,3
288,fine,PASS,16.339,286.3,57.1,0.0,186,7,3
197,medium,PASS,16.297,301.0,57.8,0.0,172,8,3
223,medium,PASS,16.289,302.3,57.7,0.0,204,8,3
306,fine,PASS,16.187,294.7,58.1,0.0,198,8,3
273,medium,PASS,16.125,291.3,56.2,0.0,224,8,3
297,fine,PASS,16.112,288.2,55.0,0.0,192,7,3
294,fine,PASS,16.108,295.7,57.2,0.0,186,9,3
309,fine,PASS,16.099,290.2,56.1,0.0,198,9,3
303,fine,PASS,16.091,298.6,55.6,0.0,198,7,3
300,fine,PASS,16.04,290.0,56.8,0.0,192,9,3
180,medium,PASS,16.026,290.0,56.0,0.0,148,8,3
305,fine,PASS,15.863,276.4,55.6,0.0,198,8,2
281,medium,PASS,15.752,275.8,56.5,0.0,236,8,3
290,fine,PASS,15.72,277.9,54.7,0.0,186,8,2
86,coarse,PASS,15.695,282.7,54.2,0.0,160,8,2
196,medium,PASS,15.674,283.6,54.7,0.0,172,8,2
240,medium,PASS,15.589,275.3,52.5,0.0,204,8,4
257,medium,PASS,15.582,274.2,53.6,0.0,172,8,4
307,fine,PASS,15.577,275.0,54.9,0.0,198,8,4
111,coarse,PASS,15.56,277.1,54.1,0.0,192,8,2
