trial,stage,status,snr_db,eye_height_mv,eye_width_ps,ber,tx_level,eq_gain,pre_emphasis
0,coarse,FAIL,,,,,64,0,0
1,coarse,FAIL,,,,,64,0,2
2,coarse,FAIL,,,,,64,0,4
3,coarse,FAIL,,,,,64,0,6
4,coarse,FAIL,,,,,64,0,7
5,coarse,FAIL,,,,,64,4,0
6,coarse,FAIL,,,,,64,4,2
7,coarse,FAIL,,,,,64,4,4
8,coarse,FAIL,,,,,64,4,6
9,coarse,FAIL,,,,,64,4,7
10,coarse,FAIL,,,,,64,8,0
11,coarse,PASS,11.625,198.9,40.3,0.0021,64,8,2
12,coarse,PASS,11.533,208.8,40.2,0.0033,64,8,4
13,coarse,FAIL,,,,,64,8,6
14,coarse,FAIL,,,,,64,8,7
15,coarse,FAIL,,,,,64,12,0
16,coarse,FAIL,,,,,64,12,2
17,coarse,FAIL,,,,,64,12,4
18,coarse,FAIL,,,,,64,12,6
19,coarse,FAIL,,,,,64,12,7
20,coarse,FAIL,,,,,64,15,0
21,coarse,FAIL,,,,,64,15,2
22,coarse,FAIL,,,,,64,15,4
23,coarse,FAIL,,,,,64,15,6
24,coarse,FAIL,,,,,64,15,7
25,coarse,FAIL,,,,,96,0,0
26,coarse,FAIL,,,,,96,0,2
27,coarse,FAIL,,,,,96,0,4
28,coarse,FAIL,,,,,96,0,6
29,coarse,FAIL,,,,,96,0,7
30,coarse,FAIL,,,,,96,4,0
31,coarse,PASS,8.036,141.5,26.8,0.3586,96,4,2
32,coarse,FAIL,,,,,96,4,4
33,coarse,FAIL,,,,,96,4,6
34,coarse,FAIL,,,,,96,4,7
35,coarse,OUT_OF_RANGE,6.176,116.2,22.5,0.4506,96,8,0
36,coarse,PASS,13.645,243.9,46.8,0.0,96,8,2
37,coarse,PASS,13.499,237.9,46.2,0.0,96,8,4
38,coarse,OUT_OF_RANGE,6.353,113.6,19.5,0.4453,96,8,6
39,coarse,FAIL,,,,,96,8,7
40,coarse,FAIL,,,,,96,12,0
41,coarse,OUT_OF_RANGE,7.718,146.7,27.5,0.3814,96,12,2
42,coarse,FAIL,,,,,96,12,4
43,coarse,FAIL,,,,,96,12,6
44,coarse,FAIL,,,,,96,12,7
45,coarse,FAIL,,,,,96,15,0
46,coarse,FAIL,,,,,96,15,2
47,coarse,FAIL,,,,,96,15,4
48,coarse,FAIL,,,,,96,15,6
49,coarse,FAIL,,,,,96,15,7
50,coarse,FAIL,,,,,128,0,0
51,coarse,FAIL,,,,,128,0,2
52,coarse,FAIL,,,,,128,0,4
53,coarse,FAIL,,,,,128,0,6
54,coarse,FAIL,,,,,128,0,7
55,coarse,FAIL,,,,,128,4,0
56,coarse,PASS,9.234,165.0,31.9,0.2351,128,4,2
57,coarse,PASS,8.789,160.1,31.2,0.2881,128,4,4
58,coarse,FAIL,,,,,128,4,6
59,coarse,FAIL,,,,,128,4,7
60,coarse,OUT_OF_RANGE,7.665,140.6,27.0,0.3849,128,8,0
61,coarse,PASS,14.61,265.0,51.0,0.0,128,8,2
62,coarse,PASS,14.825,265.9,52.4,0.0,128,8,4
63,coarse,OUT_OF_RANGE,7.648,136.2,25.5,0.386,128,8,6
64,coarse,FAIL,,,,,128,8,7
65,coarse,FAIL,,,,,128,12,0
66,coarse,PASS,9.125,163.5,31.0,0.2489,128,12,2
67,coarse,PASS,9.23,165.8,32.1,0.2357,128,12,4
68,coarse,FAIL,,,,,128,12,6
69,coarse,FAIL,,,,,128,12,7
70,coarse,FAIL,,,,,128,15,0
71,coarse,FAIL,,,,,128,15,2
72,coarse,FAIL,,,,,128,15,4
73,coarse,FAIL,,,,,128,15,6
74,coarse,FAIL,,,,,128,15,7
75,coarse,FAIL,,,,,160,0,0
76,coarse,FAIL,,,,,160,0,2
77,coarse,FAIL,,,,,160,0,4
78,coarse,FAIL,,,,,160,0,6
79,coarse,FAIL,,,,,160,0,7
80,coarse,FAIL,,,,,160,4,0
81,coarse,PASS,9.728,183.3,32.8,0.1687,160,4,2
82,coarse,PASS,10.004,171.8,35.2,0.1303,160,4,4
83,coarse,FAIL,,,,,160,4,6
84,coarse,FAIL,,,,,160,4,7
85,coarse,PASS,8.551,151.4,27.0,0.3131,160,8,0
86,coarse,PASS,15.695,282.7,54.2,0.0,160,8,2
87,coarse,PASS,15.36,284.1,54.8,0.0,160,8,4
88,coarse,PASS,8.365,150.2,27.7,0.3308,160,8,6
89,coarse,FAIL,,,,,160,8,7
90,coarse,FAIL,,,,,160,12,0
91,coarse,PASS,9.943,183.3,33.2,0.1388,160,12,2
92,coarse,PASS,9.896,177.3,35.6,0.1453,160,12,4
93,coarse,FAIL,,,,,160,12,6
94,coarse,FAIL,,,,,160,12,7
95,coarse,FAIL,,,,,160,15,0
96,coarse,FAIL,,,,,160,15,2
97,coarse,FAIL,,,,,160,15,4
98,coarse,FAIL,,,,,160,15,6
99,coarse,FAIL,,,,,160,15,7
100,coarse,FAIL,,,,,192,0,0
101,coarse,FAIL,,,,,192,0,2
102,coarse,FAIL,,,,,192,0,4
103,coarse,FAIL,,,,,192,0,6
104,coarse,FAIL,,,,,192,0,7
105,coarse,FAIL,,,,,192,4,0
106,coarse,PASS,10.169,172.6,34.5,0.1081,192,4,2
107,coarse,PASS,9.954,179.8,36.1,0.1373,192,4,4
108,coarse,FAIL,,,,,192,4,6
109,coarse,FAIL,,,,,192,4,7
110,coarse,PASS,8.365,143.2,29.5,0.3308,192,8,0
111,coarse,PASS,15.56,277.1,54.1,0.0,192,8,2
112,coarse,PASS,15.515,278.0,55.2,0.0,192,8,4
113,coarse,PASS,8.328,151.8,30.0,0.3342,192,8,6
114,coarse,FAIL,,,,,192,8,7
115,coarse,FAIL,,,,,192,12,0
116,coarse,PASS,9.805,186.0,36.3,0.158,192,12,2
117,coarse,PASS,9.696,173.4,34.5,0.1731,192,12,4
118,coarse,FAIL,,,,,192,12,6
119,coarse,FAIL,,,,,192,12,7
120,coarse,FAIL,,,,,192,15,0
121,coarse,FAIL,,,,,192,15,2
122,coarse,FAIL,,,,,192,15,4
123,coarse,FAIL,,,,,192,15,6
124,coarse,FAIL,,,,,192,15,7
125,coarse,FAIL,,,,,224,0,0
126,coarse,FAIL,,,,,224,0,2
127,coarse,FAIL,,,,,224,0,4
128,coarse,FAIL,,,,,224,0,6
129,coarse,FAIL,,,,,224,0,7
130,coarse,FAIL,,,,,224,4,0
131,coarse,PASS,9.443,165.0,33.2,0.2077,224,4,2
132,coarse,PASS,9.169,169.8,33.9,0.2434,224,4,4
133,coarse,FAIL,,,,,224,4,6
134,coarse,FAIL,,,,,224,4,7
135,coarse,OUT_OF_RANGE,7.725,147.0,28.1,0.381,224,8,0
136,coarse,PASS,14.954,277.4,54.2,0.0,224,8,2
137,coarse,PASS,14.989,270.3,52.5,0.0,224,8,4
138,coarse,FAIL,,,,,224,8,6
139,coarse,FAIL,,,,,224,8,7
140,coarse,FAIL,,,,,224,12,0
141,coarse,PASS,9.474,167.5,34.6,0.2036,224,12,2
142,coarse,PASS,9.522,165.5,33.1,0.1971,224,12,4
143,coarse,FAIL,,,,,224,12,6
144,coarse,FAIL,,,,,224,12,7
145,coarse,FAIL,,,,,224,15,0
146,coarse,FAIL,,,,,224,15,2
147,coarse,FAIL,,,,,224,15,4
148,coarse,FAIL,,,,,224,15,6
149,coarse,FAIL,,,,,224,15,7
150,coarse,FAIL,,,,,255,0,0
151,coarse,FAIL,,,,,255,0,2
